FID,Fuel_Type,Latitude,Longitude
240,CNG,34.286172,-118.811429
241,LPG,33.917406,-118.099791
242,ELEC,21.968054,-159.356942
243,LPG,34.130884,-118.261126
244,ELEC,21.454099,-158.006354
245,LPG,33.778867,-118.001233
246,ELEC,21.344489,-157.92873
247,LPG,33.875716,-118.278513
248,ELEC,22.213506,-159.475426
249,LPG,33.865844,-117.8746
250,ELEC,22.221588,-159.468558
251,LPG,34.721916,-118.140981
252,ELEC,19.925895,-155.883763
253,LPG,19.726555,-155.056775
254,ELEC,20.6803,-156.442218
255,ELEC,20.883974,-156.48873
256,LPG,33.879307,-118.274138
257,ELEC,21.425784,-157.997143
258,LPG,21.332109,-157.886581
259,ELEC,21.391562,-158.033556
260,CNG,33.992434,-118.317963
261,ELEC,21.427693,-157.997835
262,CNG,34.087676,-118.223868
263,CNG,34.085193,-118.381875
264,ELEC,21.336488,-157.91314
265,ELEC,21.310543,-157.8622
266,CNG,33.773534,-118.077463
267,CNG,35.132317,-118.442542
268,ELEC,21.277217,-157.824728
269,LPG,34.043456,-118.308748
270,ELEC,21.304136,-157.8549
271,ELEC,21.313581,-157.8617
272,LPG,33.989003,-118.265593
273,ELEC,21.275246,-157.821863
274,LPG,34.023243,-118.156789
275,ELEC,34.455249,-119.708493
276,LPG,33.935201,-118.291135
277,ELEC,34.029083,-118.4715
278,LPG,34.00771,-118.309264
279,ELEC,34.028488,-118.4719
280,LPG,33.902762,-118.317175
281,ELEC,33.811617,-118.16956
282,ELEC,33.811617,-118.16956
283,ELEC,33.811098,-118.34324
284,ELEC,34.277113,-119.252451
285,ELEC,34.161085,-118.815916
286,ELEC,34.126304,-117.923201
287,ELEC,33.87305,-117.988642
288,ELEC,33.863972,-118.398285
289,ELEC,33.863979,-118.395615
290,ELEC,33.827637,-118.146753
291,ELEC,33.823452,-118.148872
292,ELEC,34.097853,-118.362743
293,ELEC,34.06284,-118.357732
294,ELEC,34.068809,-118.444057
295,ELEC,34.052189,-118.252073
296,ELEC,34.046354,-118.443634
297,ELEC,34.280131,-118.460325
298,ELEC,33.6231,-117.908104
299,ELEC,33.785965,-117.886101
300,ELEC,21.271639,-157.8214
301,ELEC,33.772978,-118.265823
302,E85,34.731738,-120.560982
303,CNG,34.13858,-117.923815
304,CNG,34.661889,-118.123588
305,LPG,34.355546,-119.045879
306,LPG,34.290286,-118.411167
307,CNG,34.182974,-118.319506
308,CNG,33.774782,-117.906598
309,CNG,34.060172,-118.236898
310,CNG,34.149944,-118.077452
311,CNG,34.198642,-118.174611
312,ELEC,21.334618,-157.881202
313,ELEC,34.646634,-118.147655
314,ELEC,33.33484,-118.311796
315,ELEC,33.855141,-118.234048
316,ELEC,33.803535,-118.157638
317,ELEC,34.136276,-117.993909
318,ELEC,34.04485,-118.100116
319,ELEC,33.866538,-117.960887
320,ELEC,33.7447,-118.000764
321,ELEC,34.434002,-119.838863
322,ELEC,34.025555,-118.472822
323,ELEC,21.301098,-157.846151
324,ELEC,21.363393,-157.899511
325,ELEC,33.843659,-118.342405
326,ELEC,34.16215,-118.83594
327,ELEC,34.433773,-118.585553
328,ELEC,21.273123,-157.822788
329,ELEC,34.286049,-119.176272
330,ELEC,21.308379,-157.85314
